configuration,claim_id,claim,label,max_entailment,max_contradiction,revised_label,support_label
Section + MedCPT,C01,Patient is a 43-year-old female.,SUPPORTED,0.9996960163116455,0.9251990914344788,SUPPORTED,SUPPORTED
Section + MedCPT,C02,Past medical history includes hypertension.,SUPPORTED,0.9997853636741638,0.06939546018838882,SUPPORTED,SUPPORTED
Section + MedCPT,C03,Past medical history includes asthma.,SUPPORTED,0.9997832179069519,0.002429270651191473,SUPPORTED,SUPPORTED
Section + MedCPT,C04,Family history is negative for thromboembolism.,CONTRADICTED,0.0006014245445840061,0.9995700716972351,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C05,Family history is negative for pulmonary hypertension.,CONTRADICTED,0.0006047285278327763,0.9996933937072754,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C06,Patient lives alone.,CONTRADICTED,0.43466848134994507,0.9995999932289124,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C07,Patient is independent in activities of daily living.,CONTRADICTED,0.9976441264152527,0.9997217059135437,SUPPORTED,SUPPORTED
Section + MedCPT,C08,Patient is a non-smoker.,CONTRADICTED,0.3355407416820526,0.9978356957435608,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C09,Patient consumes alcohol rarely.,CONTRADICTED,0.3678654134273529,0.9995182752609253,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C10,Patient does not use recreational drugs.,CONTRADICTED,0.012010819278657436,0.9996392726898193,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C11,Patient has not traveled recently.,CONTRADICTED,0.02515694871544838,0.9995929598808289,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C12,"Patient presented with progressive breathlessness over two weeks, worse on exertion.",SUPPORTED,0.9996814727783203,0.8477486968040466,SUPPORTED,SUPPORTED
Section + MedCPT,C13,"Patient reported chest tightness without chest pain, wheeze, haemoptysis, fever, or syncope.",CONTRADICTED,0.9912946820259094,0.9997236132621765,SUPPORTED,SUPPORTED
Section + MedCPT,C14,CTPA confirmed chronic thromboembolic disease.,SUPPORTED,0.9997259974479675,0.9969496130943298,SUPPORTED,SUPPORTED
Section + MedCPT,C15,Transthoracic echocardiogram showed severe pulmonary hypertension with right-ventricular strain.,SUPPORTED,0.9997345805168152,0.8714887499809265,SUPPORTED,SUPPORTED
Section + MedCPT,C16,"NT-proBNP level was 3,200 pg/mL.",SUPPORTED,0.9997722506523132,0.9773065447807312,SUPPORTED,SUPPORTED
Section + MedCPT,C17,V/Q scan demonstrated mismatched perfusion defects consistent with CTEPH.,SUPPORTED,0.9998056292533875,0.7541018724441528,SUPPORTED,SUPPORTED
Section + MedCPT,C18,Hemoglobin was 110 g/L.,CONTRADICTED,0.9994964599609375,0.999648928642273,SUPPORTED,SUPPORTED
Section + MedCPT,C19,Mild anemia was noted.,SUPPORTED,0.999809205532074,0.008310988545417786,SUPPORTED,SUPPORTED
Section + MedCPT,C20,Diagnosis of chronic thromboembolic pulmonary hypertension (CTEPH) was confirmed.,SUPPORTED,0.9997522234916687,0.980581521987915,SUPPORTED,SUPPORTED
Section + MedCPT,C21,Patient required supplemental oxygen at 2 L/min initially.,SUPPORTED,0.9992305040359497,0.9934819340705872,SUPPORTED,SUPPORTED
Section + MedCPT,C22,Patient was weaned to room air.,CONTRADICTED,0.031785305589437485,0.9976442456245422,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C23,Patient’s SpO₂ was 94% while receiving 2 L/min oxygen.,CONTRADICTED,0.9989823698997498,0.9994088411331177,SUPPORTED,SUPPORTED
Section + MedCPT,C24,Patient’s SpO₂ was 95% on room air.,CONTRADICTED,0.06014527752995491,0.9996432065963745,CONTRADICTED,UNSUPPORTED
Section + MedCPT,C25,Patient was started on rivaroxaban 20 mg once daily.,SUPPORTED,0.9987388253211975,0.9978697299957275,SUPPORTED,SUPPORTED
Section + MedCPT,C26,"At discharge, patient was prescribed rivaroxaban 15 mg twice daily for 21 days then 20 mg once daily.",SUPPORTED,0.9991770386695862,0.9888505339622498,SUPPORTED,SUPPORTED
Section + MedCPT,C27,Patient was scheduled for follow-up at a tertiary pulmonary hypertension centre in four weeks.,SUPPORTED,0.9998039603233337,0.8478182554244995,SUPPORTED,SUPPORTED
Section + MedCPT,C28,Outpatient review of hemoglobin and NT-proBNP was planned.,SUPPORTED,0.9997193217277527,0.14166736602783203,SUPPORTED,SUPPORTED
Fixed + MedCPT,C01,The patient is a 43-year-old female named Abena Bonsu.,SUPPORTED,0.9995473027229309,0.8478628993034363,SUPPORTED,SUPPORTED
Fixed + MedCPT,C02,The patient has a past medical history of hypertension and asthma.,SUPPORTED,0.9998182654380798,0.113623708486557,SUPPORTED,SUPPORTED
Fixed + MedCPT,C03,The patient presented to the emergency department with progressive exertional dyspnoea for two weeks.,SUPPORTED,0.9995428323745728,0.9948703050613403,SUPPORTED,SUPPORTED
Fixed + MedCPT,C04,"The patient denied chest pain, haemoptysis, fever, and syncope on presentation.",CONTRADICTED,0.036385394632816315,0.9997019171714783,CONTRADICTED,UNSUPPORTED
Fixed + MedCPT,C05,Initial peripheral oxygen saturation was 89% on room air and improved to 92% with low‑flow oxygen at 2 L/min.,SUPPORTED,0.9994657635688782,0.9994068145751953,SUPPORTED,SUPPORTED
Fixed + MedCPT,C06,Arterial blood gas showed mild hypoxia (PaO₂ 8.5 kPa) with compensated respiratory alkalosis.,SUPPORTED,0.999715268611908,0.9970947504043579,SUPPORTED,SUPPORTED
Fixed + MedCPT,C07,NT‑proBNP measured 3 200 pg/mL.,SUPPORTED,0.9997655749320984,0.9955989122390747,SUPPORTED,SUPPORTED
Fixed + MedCPT,C08,The patient received low‑flow oxygen therapy.,SUPPORTED,0.9998193383216858,0.07797451317310333,SUPPORTED,SUPPORTED
Fixed + MedCPT,C09,The patient was started on low molecular weight heparin (LMWH).,CONTRADICTED,0.9930552840232849,0.9979204535484314,SUPPORTED,SUPPORTED
Fixed + MedCPT,C10,The treatment plan included apixaban 10 mg twice daily for seven days followed by 5 mg twice daily.,SUPPORTED,0.9994413256645203,0.8366303443908691,SUPPORTED,SUPPORTED
Fixed + MedCPT,C11,A computed tomography pulmonary angiogram (CTPA) was performed to evaluate for chronic thrombo‑embolic pulmonary hypertension.,SUPPORTED,0.999664306640625,0.9608718156814575,SUPPORTED,SUPPORTED
Fixed + MedCPT,C12,A transthoracic echocardiogram was performed to assess right‑ventricular function.,SUPPORTED,0.9994385838508606,0.9953576922416687,SUPPORTED,SUPPORTED
Fixed + MedCPT,C13,LMWH was continued on days 1‑2 of admission.,UNSUPPORTED,0.018808579072356224,0.7322670817375183,UNSUPPORTED,UNSUPPORTED
Fixed + MedCPT,C14,Apixaban was initiated as per protocol.,CONTRADICTED,0.09427857398986816,0.9966588020324707,CONTRADICTED,UNSUPPORTED
Fixed + MedCPT,C15,Physiotherapy provided diaphragmatic breathing training and mobilisation.,SUPPORTED,0.9997537732124329,0.9787311553955078,SUPPORTED,SUPPORTED
Fixed + MedCPT,C16,CTPA findings prompted a ventilation‑perfusion (V/Q) scan.,SUPPORTED,0.9997532963752747,0.026997903361916542,SUPPORTED,SUPPORTED
Fixed + MedCPT,C17,The V/Q scan showed mismatched perfusion defects confirming chronic thrombo‑embolic pulmonary hypertension.,SUPPORTED,0.9997349381446838,0.7712671160697937,SUPPORTED,SUPPORTED
Fixed + MedCPT,C18,Echocardiography demonstrated severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9997455477714539,0.8225802183151245,SUPPORTED,SUPPORTED
Fixed + MedCPT,C19,Sildenafil 20 mg three times daily was started for pulmonary hypertension.,SUPPORTED,0.9997580647468567,0.99893718957901,SUPPORTED,SUPPORTED
Fixed + MedCPT,C20,Low‑flow oxygen was weaned from 2 L/min to 1 L/min.,UNSUPPORTED,0.10489466041326523,0.3766893744468689,UNSUPPORTED,UNSUPPORTED
Fixed + MedCPT,C21,Mild peripheral oedema was noted.,SUPPORTED,0.9998099207878113,0.999630331993103,SUPPORTED,SUPPORTED
Fixed + MedCPT,C22,"Furosemide 20 mg once daily was started, resulting in improvement of oedema.",SUPPORTED,0.9987934827804565,0.8939806222915649,SUPPORTED,SUPPORTED
Fixed + MedCPT,C23,"Hemoglobin decreased to 10 g/dL, indicating mild anaemia.",SUPPORTED,0.9997411370277405,0.0339660719037056,SUPPORTED,SUPPORTED
Fixed + MedCPT,C24,Ferrous sulfate 200 mg twice daily was started for iron deficiency.,SUPPORTED,0.9946756362915039,0.7551205158233643,SUPPORTED,SUPPORTED
Fixed + MedCPT,C25,"Oxygen requirement was further reduced, and SpO₂ was 94‑95% on room air.",SUPPORTED,0.9984986782073975,0.9974453449249268,SUPPORTED,SUPPORTED
Fixed + MedCPT,C26,Anticoagulation was switched from apixaban to rivaroxaban 15 mg twice daily for 21 days followed by 20 mg once daily.,CONTRADICTED,0.9462293386459351,0.999575674533844,SUPPORTED,SUPPORTED
Fixed + MedCPT,C27,Rivaroxaban was tolerated without side effects.,CONTRADICTED,0.9983972907066345,0.9996522665023804,SUPPORTED,SUPPORTED
Fixed + MedCPT,C28,"The patient’s clinical status was stable with improved dyspnoea, independent mobilisation, and no new chest pain or syncope.",CONTRADICTED,0.999136745929718,0.9996569156646729,SUPPORTED,SUPPORTED
Fixed + MedCPT,C29,Jugular venous pressure was not raised and peripheral oedema had resolved.,CONTRADICTED,0.016236696392297745,0.9996353387832642,CONTRADICTED,UNSUPPORTED
Fixed + MedCPT,C30,A referral was sent to a tertiary pulmonary‑hypertension centre for assessment of pulmonary endarterectomy.,SUPPORTED,0.999805748462677,0.9540223479270935,SUPPORTED,SUPPORTED
Fixed + MedCPT,C31,"At discharge, the patient was prescribed rivaroxaban (15 mg twice daily for 21 days then 20 mg once daily), sildenafil 20 mg three times daily, furosemide 20 mg once daily, and ferrous sulfate 200 mg twice daily.",SUPPORTED,0.9991312623023987,0.9987590312957764,SUPPORTED,SUPPORTED
Fixed + MedCPT,C32,No supplemental oxygen was required at discharge; SpO₂ was 94% on room air.,CONTRADICTED,0.9988620281219482,0.9997017979621887,SUPPORTED,SUPPORTED
Fixed + MedCPT,C33,The patient is scheduled for an outpatient review at the tertiary pulmonary‑hypertension centre in four weeks.,SUPPORTED,0.998670220375061,0.9974623918533325,SUPPORTED,SUPPORTED
Fixed + MedCPT,C34,The patient was given a home exercise programme.,SUPPORTED,0.9998396635055542,0.965957522392273,SUPPORTED,SUPPORTED
Fixed + MedCPT,C35,The patient received safety‑net advice to seek urgent care for worsening dyspnoea or chest pain.,SUPPORTED,0.9996820688247681,0.9960052371025085,SUPPORTED,SUPPORTED
